t,E_field,E_source_remaining,E_injected_cum,E_leaked_cum,conservation_residual
414,310.3859056520948,0.0,393.46399021749124,83.07808456539655,8.526512829121202e-14
415,310.1104534723579,0.0,393.46399021749124,83.3535367451334,5.684341886080802e-14
416,309.83524574284235,0.0,393.46399021749124,83.62874447464901,1.1368683772161603e-13
417,309.56028224661054,0.0,393.46399021749124,83.9037079708808,9.947598300641403e-14
418,309.2855627669175,0.0,393.46399021749124,84.17842745057384,9.947598300641403e-14
419,309.0110870872107,0.0,393.46399021749124,84.45290313028067,1.1368683772161603e-13
420,308.73685499112946,0.0,393.46399021749124,84.72713522636187,8.526512829121202e-14
421,308.46286626250554,0.0,393.46399021749124,85.0011239549858,9.947598300641403e-14
422,308.1891206853622,0.0,393.46399021749124,85.27486953212913,7.105427357601002e-14
423,307.91561804391455,0.0,393.46399021749124,85.54837217357678,8.526512829121202e-14
424,307.6423581225691,0.0,393.46399021749124,85.82163209492218,1.4210854715202004e-14
425,307.3693407059238,0.0,393.46399021749124,86.09464951156751,4.263256414560601e-14
426,307.09656557876764,0.0,393.46399021749124,86.36742463872369,8.526512829121202e-14
427,306.82403252608066,0.0,393.46399021749124,86.63995769141066,7.105427357601002e-14
428,306.55174133303376,0.0,393.46399021749124,86.91224888445757,8.526512829121202e-14
429,306.27969178498836,0.0,393.46399021749124,87.18429843250297,8.526512829121202e-14
430,306.00788366749646,0.0,393.46399021749124,87.45610654999484,5.684341886080802e-14
431,305.7363167663004,0.0,393.46399021749124,87.72767345119091,4.263256414560601e-14
432,305.4649908673325,0.0,393.46399021749124,87.99899935015875,2.842170943040401e-14
433,305.19390575671537,0.0,393.46399021749124,88.27008446077593,5.684341886080802e-14
434,304.9230612207611,0.0,393.46399021749124,88.5409289967302,5.684341886080802e-14
435,304.6524570459715,0.0,393.46399021749124,88.81153317151976,2.842170943040401e-14
436,304.382093019038,0.0,393.46399021749124,89.08189719845326,1.4210854715202004e-14
437,304.1119689268412,0.0,393.46399021749124,89.3520212906501,5.684341886080802e-14
438,303.8420845564508,0.0,393.46399021749124,89.62190566104047,2.842170943040401e-14
439,303.5724396951256,0.0,393.46399021749124,89.89155052236572,5.684341886080802e-14
440,303.303034130313,0.0,393.46399021749124,90.16095608717829,4.263256414560601e-14
441,303.03386764964927,0.0,393.46399021749124,90.43012256784205,7.105427357601002e-14
442,302.764940040959,0.0,393.46399021749124,90.69905017653232,8.526512829121202e-14
443,302.496251092255,0.0,393.46399021749124,90.96773912523628,5.684341886080802e-14
444,302.22780059173846,0.0,393.46399021749124,91.23618962575283,4.263256414560601e-14
445,301.9595883277983,0.0,393.46399021749124,91.50440188969301,8.526512829121202e-14
446,301.6916140890113,0.0,393.46399021749124,91.77237612848005,9.947598300641403e-14
447,301.42387766414186,0.0,393.46399021749124,92.04011255334947,8.526512829121202e-14
448,301.1563788421419,0.0,393.46399021749124,92.30761137534941,8.526512829121202e-14
449,300.8891174121506,0.0,393.46399021749124,92.57487280534073,8.526512829121202e-14
450,300.6220931634942,0.0,393.46399021749124,92.84189705399709,2.842170943040401e-14
451,300.35530588568605,0.0,393.46399021749124,93.10868433180524,4.263256414560601e-14
452,300.0887553684262,0.0,393.46399021749124,93.37523484906508,1.4210854715202004e-14
453,299.8224414016012,0.0,393.46399021749124,93.64154881588999,2.842170943040401e-14
454,299.55636377528447,0.0,393.46399021749124,93.90762644220679,1.4210854715202004e-14
455,299.2905222797352,0.0,393.46399021749124,94.17346793775604,2.842170943040401e-14
456,299.02491670539916,0.0,393.46399021749124,94.43907351209211,2.842170943040401e-14
457,298.75954684290787,0.0,393.46399021749124,94.70444337458346,8.526512829121202e-14
